-0.28,-0.071,-0.316,0.638,0.011,0.789,1.423,0.227,-0.678,-1.744
1.267,-0.453,-1.641,0.132,0.042,0.546,0.889,1.498,-0.241,-2.039
2.367,0.645,-0.312,-0.745,0.753,0.723,-1.87,-0.907,0.312,-0.965
2.346,0.167,-1.689,0.69,0.285,0.192,-0.342,-1.674,0.486,-0.462
0.157,1.602,-0.466,0.108,-0.25,1.124,-0.684,-0.663,-0.763,-0.167
2.2,0.453,-0.646,0.923,0.563,1.015,-1.004,-0.496,-2.808,-0.2
4.401,0.962,-4.491,-0.454,0.051,-0.457,-0.194,0.324,-0.097,-0.044
0.903,-0.007,-0.027,-0.388,0.802,-1.929,0.524,0.314,0.203,-0.394
5.78,1.866,-5.729,-0.421,-1.37,-0.116,-0.025,-0.24,0.281,-0.025
3.676,0.563,-3.702,-0.949,-1.907,-0.624,1.226,-0.351,2.263,-0.195
1.216,4.963,-5.55,-1.069,0.214,-0.759,1.193,-0.28,0.43,-0.357
-1.32,0.886,-3.203,-0.174,-0.289,-1.016,-0.055,-0.232,5.427,-0.023
0.973,0.301,0.489,0.876,-0.192,0.303,-0.286,-1.375,0.054,-1.143
3.229,0.489,-2.904,-0.013,0.024,-0.17,0.202,-0.747,0.908,-1.017
1.992,-0.56,-3.05,-0.227,0.617,1.198,2.083,-1.516,-0.342,-0.196
3.215,0.137,-4.194,-0.247,-0.423,-0.826,-0.08,1.926,1.151,-0.66
3.535,0.574,-3.412,0.515,-0.076,0.554,-1.106,-0.498,0.296,-0.383
1.628,5.525,-5.506,-0.23,-0.447,0.046,-0.611,-0.141,-0.139,-0.125
1.85,0.549,0.229,-1.191,0.818,-0.418,1.115,-0.178,-1.683,-1.09
2.634,0.112,-2.678,-0.391,0.566,-0.927,0.021,0.612,0.29,-0.239
1.66,-0.02,-0.68,0.049,1.233,3.1,-0.174,1.451,-3.429,-3.189
5.698,1.748,-5.694,-1.57,0.213,2.219,1.105,-1.008,-0.309,-2.403
0.255,0.397,0.53,0.307,0.437,0.257,-0.409,2.093,0.34,-4.206
3.977,1.053,-2.887,0.64,-1.334,0.302,-1.198,-0.988,0.45,-0.015
-0.598,0.47,-0.676,0.804,-0.627,0.94,1.259,-0.407,-0.518,-0.648
4.611,0.893,-5.665,-0.226,-0.06,-0.452,-0.138,1.724,-0.316,-0.371
3.762,0.755,-3.264,-0.236,0.75,-1.253,-0.18,0.386,-0.302,-0.419
-0.719,0.403,-1.041,-0.728,-1.149,1.54,0.381,-0.162,1.81,-0.335
-1.126,0.579,-2.092,-0.141,1.14,1.507,0.563,1.202,-1.58,-0.053
