0.876,4.636,-6.046,0.045,1.539,0.234,-0.275,2.076,1.702,1.462,-1.208,-1.165,-0.818,0.166,0.464,0.889,-1.235,-0.542,-2.342,-0.459
3.256,0.247,-3.694,-1.253,-0.756,-1.104,0.565,-0.43,0.242,0.13,1.749,-0.319,0.189,0.245,0.385,0.757,1.543,0.479,-0.142,-2.088
4.85,0.915,-6.711,1.026,-0.783,1.426,0.077,-1.402,0.825,-0.431,-1.07,-1.239,1.631,0.925,0.731,0.975,-0.539,-0.22,1.61,-2.596
0.182,2.282,-1.65,-1.443,1.296,1.203,-0.799,-0.81,-1.443,0.142,0.852,0.281,-0.333,0.043,0.312,-0.47,-1.351,0.279,1.468,-0.04
0.64,0.507,0.545,-0.811,1.452,0.198,0.459,1.224,-0.017,-1.127,-1.275,-1.453,0.135,1.473,-1.148,0.529,1.668,0.361,-1.969,-1.391
2.533,-1.084,-7.123,-3.655,-1.418,-2.624,-2.985,-1.41,-0.494,-1.466,-0.645,-2.366,0.035,-0.629,-1.149,-2.405,-0.784,-0.182,27.96,-0.108
-1.777,-1.04,-1.987,-0.603,-0.464,-0.26,-1.464,-0.286,-2.139,-0.524,1.375,0.878,0.241,1.007,-0.299,-0.82,-1.69,0.324,10.146,-0.616
0.07,2.608,-2.508,-1.983,-0.762,-0.142,-0.048,-1.813,-0.681,1.507,1.18,-1.571,-0.031,1.211,-0.097,-0.509,0.861,1.776,1.263,-0.329
3.735,0.594,-3.746,0.092,-0.685,1.158,0.276,0.101,1.66,-2.085,-0.507,-0.185,0.517,-1.017,2.128,-0.321,-0.015,-0.542,-0.169,-0.988
0.357,0.867,0.417,0.226,-0.753,-1.103,0.741,-0.075,0.163,0.948,1,1.241,0.1,-1.288,-0.393,1.223,1.498,2.001,-6.452,-0.718
4.861,1.234,-5.068,1.329,-0.037,-0.839,1.451,1.283,0.365,-1.388,-0.195,-0.507,0.36,0.356,-1.23,-0.563,-0.927,1.094,-0.941,-0.638
3.471,0.344,-4.091,1.095,0.531,1.168,-0.132,1.136,-0.403,0.513,-1.17,0.119,0.932,0.44,-2.054,0.422,-0.204,-0.469,-0.215,-1.434
2.935,0.252,-2.744,1.328,0.328,-1.138,-0.851,-0.763,0.048,0.79,-0.422,-0.629,-1.218,-1.795,0.664,1.474,0.405,-0.964,2.635,-0.336
1.298,-1.203,-3.547,0.451,-0.047,1.225,-0.3,-2.941,-0.446,1.235,1.248,0.973,0.687,0.48,-1.041,1.888,-0.215,-0.032,0.925,-0.639
-0.119,3.04,-4.648,0.719,0.279,-1.505,-2.136,-2.252,0.397,-0.069,0.976,0.748,-0.789,-0.878,-0.044,0.145,-0.405,1.115,6.241,-0.817
3.326,0.233,-4.147,-0.452,0.61,1.197,0.28,0.637,1.331,-0.117,1.204,-0.608,-1.389,-0.511,0.719,1.061,0.044,-0.053,-2.424,-0.94
-0.048,0.867,-0.032,0.791,-0.535,1.165,-0.315,-0.756,0.46,-0.51,0.973,0.124,1.631,0.912,1.43,-0.419,-0.359,-1.825,-1.175,-2.378
-0.005,1.117,-0.122,-1.1,0.858,0.469,-1.022,-0.134,0.577,0.494,1.004,0.126,0.005,0.595,-0.65,-0.413,0.968,-0.366,-2.344,-0.055
4.291,0.92,-4.515,-1.759,-1.849,1.02,-1.455,-0.569,-0.383,-1.567,0.127,-0.709,1.595,-0.72,2.312,2.766,-0.431,0.494,0.724,-0.293
2.682,0.155,-2.569,0.131,-0.889,0.094,-2.513,0.351,-0.14,0.565,0.072,0.183,1.069,-0.628,0.25,-0.271,0.713,0.187,0.979,-0.42
0.463,2.223,-0.377,-1.056,-0.115,-0.145,1.006,0.327,0.114,-0.911,-0.069,0.198,-1.054,0.325,-0.356,0.626,0.535,-0.303,-0.497,-0.934
-1.077,-0.276,-1.126,-0.509,0.427,1.218,0.174,0.206,1.157,0.462,2.21,0.758,1.185,-0.135,-0.793,-0.731,-1.085,-1.46,0.58,-1.186
2.46,0.128,-2.022,2.618,-1.002,-0.356,-1.434,0.856,-0.271,1.436,-0.329,-2.572,0.239,-0.267,0.515,-0.21,-0.705,1.069,0.181,-0.333
-0.576,0.315,-0.508,-1.637,1.33,-0.836,0.617,-0.046,-0.483,2.906,0.318,-0.071,-0.077,-0.911,-0.517,1.355,-1.177,1.875,-1.726,-0.149
3.129,0.678,-1.919,-0.76,0.37,0.139,-0.544,-0.124,1.455,0.643,0.839,0.793,-1.333,0.012,-0.525,0.329,-1.722,-0.218,-0.946,-0.297
0.443,2.903,-2.064,0.433,-0.381,-0.116,-0.769,1.511,-0.782,0.77,0.962,-1.122,-0.603,0.731,-0.449,-1.719,0.231,0.804,-0.606,-0.177
5.089,1.775,-3.347,-0.201,-1.508,0.128,-2.463,0.619,-1.354,-0.332,-0.865,-0.03,-0.668,-1.812,0.098,1.154,0.862,0.356,2.522,-0.023
-0.351,0.054,-0.167,1.088,0.565,1.125,0.934,0.654,-1.79,-1.022,-0.423,-0.738,0.288,-1.189,0.302,1.041,-2.51,0.556,2.17,-0.587
-0.052,-0.167,-0.098,0.229,-0.717,0.305,-1.295,1.78,0.301,1.152,0.16,0.79,0.338,0.935,0.656,0.114,-1.132,-1.06,0.739,-2.978
6.142,1.918,-6.965,-0.187,-0.125,1.428,0.493,0.824,1.521,-0.333,-1.537,-0.928,0.724,-0.383,-2.01,-0.238,-0.123,1.258,-0.974,-0.504
-1.248,0.518,-2.507,0.096,-0.873,0.479,0.959,0.709,-0.331,0.429,1.559,1.261,0.168,-1.07,0.151,-0.631,1.304,1.128,-0.794,-1.306
-0.241,2.262,-2.881,-0.057,0.597,-1.92,0.237,1.947,-2.648,0.199,-0.466,-0.005,1.018,1.964,-1.108,-1.434,0.264,0.416,2.376,-0.521
2.036,0.19,-0.919,2.273,0.011,1.789,-0.905,-0.763,-0.669,-0.005,0.251,0.762,-0.231,0.559,-1.64,-2.552,0.679,0.268,0.054,-1.189
-0.074,0.082,-0.02,1.392,-0.128,-1.267,-0.484,0.526,-0.437,1.81,0.271,0.529,0.027,1.249,-0.928,1.201,-1.347,-0.348,-0.945,-1.108
0.162,4.392,-8.501,1.127,-0.333,-0.268,-1.047,0.88,0.302,0.444,1.934,-0.751,-1.278,-1.242,1.592,-0.561,0.332,0.03,2.969,-0.185
3.352,0.26,-4.214,0.143,0.039,-0.86,0.771,0.71,-0.843,0.326,1.743,0.058,-0.41,-1.914,-1.389,-0.342,-0.897,1.566,2.11,-0.21
3.094,0.878,-1.074,0.93,-1.076,0.205,-0.19,0.655,0.848,-0.792,-1.3,-1.817,0.984,0.015,0.173,-0.838,-1.14,0.432,0.082,-0.069
-1.184,-0.328,-1.282,-0.597,1.264,0.423,0.808,0.522,-0.35,-0.677,0.435,-0.129,-0.872,0.87,-0.076,1.008,1.904,-0.325,-1.126,-0.289
5.632,1.521,-6.736,1.193,-0.132,1.213,0.577,0.582,1.039,-0.78,-0.978,1.92,-0.978,-0.955,0.061,0.242,-0.2,-0.893,-0.678,-1.648
4.851,1.767,-2.533,0.174,-0.792,-0.826,-0.38,0.05,-0.717,-0.049,0.31,0.101,1.002,-0.564,0.431,-0.604,0.009,0.27,-1.557,-0.944
-0.114,-0.794,-0.754,0.56,-0.098,-0.536,0.64,-1.306,-0.37,0.937,-0.245,-0.499,0.324,-0.286,0.365,1.23,-0.025,1.75,-0.664,-0.116
1.13,-1.027,-2.78,0.864,0.554,-0.261,0.579,-1.93,-0.838,0.302,-0.533,0.567,0.084,-0.606,-0.035,2.564,0.496,0.101,1.279,-0.509
-0.664,0.556,-0.835,0.816,-0.533,-0.111,-0.153,-0.886,-0.946,0.949,-0.333,0.023,-0.32,-0.259,-0.115,-1.322,-0.627,-0.656,6.01,-0.595
0.615,-0.033,-0.062,0.872,1.269,0.824,-0.275,0.824,0.877,-2.452,0.053,0.106,-0.973,-0.337,-0.103,0.369,-0.124,-0.462,-0.226,-0.761
0.756,-0.04,-0.077,0.274,-0.756,0.629,0.845,-0.435,1.579,1.706,1.047,-0.145,-1.091,0.489,-0.909,0.819,-0.948,-0.071,-1.956,-1.715
0.401,-0.469,-0.531,0.324,0.457,1.015,-0.414,1.857,1.194,-0.558,-0.314,1.077,0.77,0.026,-0.725,0.04,-0.202,-1.424,-0.652,-1.873
