0.166,2.155,-1.235,0.204,-1.29
-0.486,0.6,-0.597,0.734,-0.251
0.867,0.249,0.377,-0.528,-0.965
4.418,0.954,-4.582,0.448,-1.238
1.173,3.704,-1.574,-3.162,-0.142
2.566,-0.814,-6.263,4.851,-0.34
5.554,1.78,-5.173,1.793,-3.954
0.611,-0.753,-1.158,1.633,-0.333
0.693,-0.403,-0.742,0.974,-0.522
1.05,4.769,-5.523,-0.282,-0.013
0.221,2.716,-2.558,0.449,-0.828
0.538,3.283,-2.771,-0.626,-0.424
1.665,0.078,-0.615,-0.312,-0.816
0.209,1.193,0.211,-1.122,-0.491
2.258,-0.031,-1.954,1.892,-2.164
-6.564,-6.545,-6.424,20.128,-0.596
1.473,-0.374,-1.347,0.71,-0.462
9.749,5.575,-3.148,-12.003,-0.173
-0.196,0.822,-0.424,0.497,-0.699
2.712,0.357,-1.832,-0.332,-0.906
4.624,0.936,-5.584,0.093,-0.068
1.408,3.851,-0.978,-3.102,-1.178
0.952,-0.335,-1.004,1.116,-0.73
1.164,4.342,-3.332,-1.889,-0.285
-0.703,1.273,-2.097,2.093,-0.565
2.097,3.063,1.977,-5.905,-1.232
2.509,6.638,-5.943,-1.713,-1.491
-0.365,0.633,-0.455,0.945,-0.758
3.122,-0.015,-4.2,1.632,-0.54
2.895,4.25,2.604,-8.228,-1.521
0.132,0.284,0.149,-0.046,-0.518
1.746,0.901,0.888,-3.492,-0.043
0.603,0.657,0.743,-1.133,-0.871
0.524,3.186,-2.472,-0.528,-0.71
3.976,1.198,-2.039,-2.594,-0.54
1.512,0.083,-0.484,1.343,-2.454
2.418,-0.078,-2.473,0.737,-0.605
0.423,3.75,-4.735,2.662,-2.1
2.055,0.156,-1.132,-0.69,-0.389
-0.207,0.546,-0.186,0.001,-0.154
2.269,-0.454,-3.637,5.451,-3.629
0.13,-1.118,-1.479,3.784,-1.316
2.208,-0.193,-2.443,2.601,-2.172
0.846,0.396,0.512,-1.017,-0.737
0.288,0.036,0.041,-0.246,-0.119
2.157,-0.298,-2.897,1.939,-0.901
1.728,5.772,-6.286,-0.981,-0.234
-0.157,0.036,-0.069,0.893,-0.703
1.953,-0.018,-1.301,-0.299,-0.335
1.185,-0.451,-1.095,1.687,-1.326
-0.247,-0.057,-0.076,0.935,-0.555
3.703,0.638,-3.736,-0.135,-0.47
1.041,1.566,1.04,-2.744,-0.903
0.138,2.304,-1.623,1.211,-2.03
11.178,14.821,4.925,-30.661,-0.262
1.117,4.515,-4.206,-0.908,-0.519
-0.318,1.241,-1.149,1.49,-1.265
-0.05,-0.208,-0.111,1.325,-0.957
1.33,-0.045,-0.669,0.244,-0.86
2.082,1.624,-1.757,-0.358,-1.591
1.825,0.906,-2.278,0.964,-1.418
1.756,2.373,-1.733,-2.193,-0.202
2.076,2.07,-1.496,0.542,-3.192
1.362,1.985,-1.999,0.564,-1.912
1.745,1.323,-2.446,-0.124,-0.499
1.378,1.294,-2.471,-0.073,-0.128
2.383,2.582,-1.184,-2.869,-0.911
-12.031,-13.06,-16.648,42.198,-0.459
1.458,1.296,-2.126,0.64,-1.268
1.438,0.733,-2.722,0.983,-0.432
0.872,0.319,-3.461,2.687,-0.417
1.086,1.635,-2.42,0.137,-0.438
1.259,1.695,-2.306,0.051,-0.699
2.074,2.041,-2.113,-1.579,-0.422
1.698,2.498,-1.638,-0.63,-1.928
1.544,1.136,-2.63,0.68,-0.73
1.648,2.554,-2.313,-0.69,-1.198
1.595,0.446,-2.879,0.862,-0.024
0.051,0.405,-3.497,3.198,-0.157
2.965,1.778,-1.725,0.143,-3.161
1.176,1.468,-2.263,-0.148,-0.233
6.004,6.691,2.756,-14.881,-0.57
1.149,1.131,-2.314,1.011,-0.978
1.439,1.42,-2.556,1.001,-1.304
-2.427,-1.239,-6.171,11.961,-2.124
2.114,1.369,-2.327,-0.177,-0.979
-0.038,0.754,-3.928,3.407,-0.195
2.008,1.771,-1.716,1.204,-3.267
2.309,1.96,-1.785,0.147,-2.631
1.666,1.568,-2.046,-0.939,-0.249
1.249,1.333,-2.263,0.847,-1.165
0.822,0.682,-3.156,2.013,-0.362
1.223,1.979,-2.292,0.244,-1.154
2.517,3.085,-0.731,-4.867,-0.004
1.753,2.54,-1.697,0.049,-2.644
1.695,0.578,-3.362,1.881,-0.792
2.031,0.972,-2.872,0.449,-0.58
1.404,1.218,-2.019,-0.08,-0.523
2.938,3.81,-0.603,-5.69,-0.456
-0.764,-0.761,-4.644,8.078,-1.91
3.366,2.297,-0.865,-3.483,-1.315
2.176,2.513,-1.716,-0.863,-2.11
2.178,1.614,-1.762,-0.378,-1.652
1.39,2.079,-2.182,-0.221,-1.066
1.856,1.368,-2.102,-1.111,-0.011
1.796,2.472,-2.094,-2.127,-0.048
0.395,1.266,-2.761,1.555,-0.455
0.755,1.432,-2.714,1.342,-0.815
1.03,1.645,-2.242,-0.032,-0.4
1.272,1.916,-2.333,0.629,-1.484
2.814,2.29,-1.769,-3.3,-0.036
2.319,2.271,-1.009,-2.103,-1.479
0.929,1.158,-2.635,0.969,-0.42
0.637,1.405,-2.834,2.318,-1.527
9.665,10.384,5.783,-25.29,-0.542
